src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
192.168.29.71,192.168.29.172,20.854397,28501374,0,0,163801,22932140,0,0,0
192.168.29.172,224.0.0.251,19.754131,2701,0,0,8,2429,0,0,0
192.168.29.172,224.0.0.22,0.0,86,0,0,1,48,0,0,0
192.168.29.172,255.255.255.255,5.019709,153,0,0,2,85,0,0,0
192.168.29.172,224.0.0.250,0.0,93,0,0,1,59,0,0,0
192.168.29.156,224.0.0.22,114.499764,1082,0,0,18,296,0,0,0
192.168.29.247,192.168.29.255,116.852521,4816,0,0,56,2912,0,0,0
192.168.29.119,224.0.0.251,97.028651,414,0,0,2,346,0,0,0
192.168.29.172,224.0.0.251,98.028569,1973,0,0,4,1837,0,0,0
192.168.29.1,224.0.0.1,100.31383,360,0,0,6,72,0,0,0
192.168.29.2,224.0.0.22,107.499092,1020,0,0,17,272,0,0,0
192.168.29.247,224.0.0.22,99.297922,444,0,0,6,216,0,0,0
192.168.29.172,224.0.0.22,82.556575,430,0,0,5,240,0,0,0
192.168.29.71,224.0.0.22,99.840243,324,0,0,6,96,0,0,0
192.168.29.60,224.0.0.22,78.089341,300,0,0,5,80,0,0,0
192.168.29.119,224.0.0.22,97.79717,360,0,0,6,96,0,0,0
192.168.29.60,239.255.255.250,60.012959,334,0,0,2,266,0,0,250
192.168.29.247,239.255.255.250,60.955733,17640,0,0,48,16008,0,0,15624
192.168.29.71,34.36.137.203,0.02309,408,237,0,5,238,3,135,0
192.168.29.172,255.255.255.255,65.019579,306,0,0,4,170,0,0,0
192.168.29.71,192.168.29.1,0.013071,150,254,0,2,82,3,135,0
192.168.29.71,192.168.29.1,0.0,71,0,0,1,37,0,0,0
192.168.29.172,224.0.0.250,60.003068,186,0,0,2,118,0,0,0
192.168.29.100,224.0.0.22,0.0,60,0,0,1,16,0,0,0
192.168.29.60,224.0.0.251,0.0,223,0,0,1,189,0,0,0
192.168.29.71,192.168.29.172,42.257143,116000,0,0,2000,48000,0,0,0
192.168.29.172,224.0.0.22,38.066759,258,0,0,3,144,0,0,0
192.168.29.172,224.0.0.251,0.99996,972,0,0,2,904,0,0,0
192.168.29.172,255.255.255.255,0.0,82,0,0,1,48,0,0,0
192.168.29.71,192.168.29.172,34.489101,666,0,0,9,360,0,0,0
192.168.29.172,224.0.0.250,0.0,93,0,0,1,59,0,0,0
192.168.29.172,224.0.0.22,0.0,86,0,0,1,48,0,0,0
192.168.29.172,224.0.0.251,2.002711,1458,0,0,3,1356,0,0,0
192.168.29.172,255.255.255.255,5.016159,153,0,0,2,85,0,0,0
192.168.29.71,192.168.29.172,34.474761,666,0,0,9,360,0,0,0
192.168.29.172,224.0.0.22,32.284257,172,0,0,2,96,0,0,0
192.168.29.172,224.0.0.251,17.817609,4988,0,0,12,4580,0,0,0
192.168.29.172,255.255.255.255,5.014116,153,0,0,2,85,0,0,0
192.168.29.172,224.0.0.250,0.0,93,0,0,1,59,0,0,0
