src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
192.168.29.156,224.0.0.22,114.499764,1082,0,0,18,296,0,0,0
192.168.29.247,192.168.29.255,116.852521,4816,0,0,56,2912,0,0,0
192.168.29.119,224.0.0.251,97.028651,414,0,0,2,346,0,0,0
192.168.29.172,224.0.0.251,98.028569,1973,0,0,4,1837,0,0,0
192.168.29.1,224.0.0.1,100.313830,360,0,0,6,72,0,0,0
192.168.29.2,224.0.0.22,107.499092,1020,0,0,17,272,0,0,0
192.168.29.247,224.0.0.22,99.297922,444,0,0,6,216,0,0,0
192.168.29.172,224.0.0.22,82.556575,430,0,0,5,240,0,0,0
192.168.29.71,224.0.0.22,99.840243,324,0,0,6,96,0,0,0
192.168.29.60,224.0.0.22,78.089341,300,0,0,5,80,0,0,0
192.168.29.119,224.0.0.22,97.797170,360,0,0,6,96,0,0,0
192.168.29.60,239.255.255.250,60.012959,334,0,0,2,266,0,0,250
192.168.29.247,239.255.255.250,60.955733,17640,0,0,48,16008,0,0,15624
192.168.29.71,34.36.137.203,0.023090,408,237,0,5,238,3,135,0
192.168.29.172,255.255.255.255,65.019579,306,0,0,4,170,0,0,0
192.168.29.71,192.168.29.1,0.013071,150,254,0,2,82,3,135,0
192.168.29.71,192.168.29.1,0.000000,71,0,0,1,37,0,0,0
192.168.29.172,224.0.0.250,60.003068,186,0,0,2,118,0,0,0
192.168.29.100,224.0.0.22,0.000000,60,0,0,1,16,0,0,0
192.168.29.60,224.0.0.251,0.000000,223,0,0,1,189,0,0,0
